Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1938,.09,.04,.10,.07,-.09,-.16,-.08,-.05,.01,.15,.08,-.12,.00,.01,.02,.03,-.10,.08
1939,-.05,-.06,-.17,-.10,-.04,-.06,-.05,-.06,-.07,-.03,.07,.43,-.02,-.06,-.07,-.10,-.06,-.01
1940,-.01,.08,.09,.17,.11,.12,.13,.07,.15,.11,.17,.31,.13,.14,.17,.13,.11,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.36,.23,.22,.19,.20,.27,.15,.17,.20
1942,.29,.02,.06,.10,.11,.05,.01,-.04,-.03,.02,.10,.12,.07,.08,.18,.09,.01,.03
1943,-.01,.18,-.03,.11,.07,-.05,.09,.01,.06,.23,.20,.24,.09,.08,.10,.05,.02,.16
1944,.36,.24,.26,.20,.19,.16,.18,.19,.28,.26,.11,.04,.21,.22,.28,.22,.17,.22
1945,.10,.01,.06,.20,.06,.01,.04,.26,.20,.19,.07,-.07,.09,.10,.05,.11,.10,.15
1946,.15,.03,.02,.06,-.07,-.21,-.12,-.20,-.07,-.07,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.06,-.07,.07,.06,-.01,-.02,-.04,-.07,-.12,.08,.03,-.13,-.02,-.04,-.15,.04,-.04,-.01
1948,.06,-.14,-.24,-.12,-.01,-.05,-.11,-.11,-.14,-.05,-.12,-.23,-.10,-.10,-.07,-.12,-.09,-.10
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.12,-.14,-.06,-.10,-.18,-.11,-.11,-.10,-.07,-.17,-.10
1950,-.26,-.27,-.07,-.21,-.11,-.05,-.08,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,.00,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.03,.02,-.02
1953,.07,.15,.11,.20,.12,.12,.01,.05,.05,.08,-.03,.05,.08,.08,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.18,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.13,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.07,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.15,-.09,-.25,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.15,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.09,.05,-.05,-.03,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.02,-.04,.04,-.19,-.02,.01
1961,.07,.19,.09,.13,.12,.12,.01,.01,.08,.00,.03,-.16,.06,.09,.15,.12,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.14,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.31,-.21,-.29,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.14,-.09,-.09
1966,-.19,-.04,.03,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03,-.06,-.06,-.10,-.07,.00,-.07
1967,-.08,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.26,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-.08,-.08,-.15,.00,-.10,-.05
1969,-.11,-.18,.00,.17,.18,.03,-.05,.04,.08,.09,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.02,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.06
1971,-.02,-.15,-.18,-.07,-.05,-.16,-.08,-.01,-.05,-.04,-.07,-.08,-.08,-.08,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.23,.19,.13,.05,.09,.10,.04,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.12,-.04,-.05,-.03,.10,-.08,-.05,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.20,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.18,.23,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.14,.06,.03,.13,.08,.07,.06,.06,.15,-.04,.07
1979,.08,-.10,.19,.15,.03,.14,.04,.17,.25,.26,.28,.48,.16,.13,.02,.12,.11,.26
1980,.29,.39,.29,.30,.35,.20,.22,.18,.20,.13,.29,.21,.26,.28,.39,.31,.20,.21
1981,.53,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.16
1982,.05,.15,.03,.15,.18,.05,.14,.03,.14,.13,.18,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.41,.27,.34,.23,.18,.36,.37,.17,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.13,.06,-.04,.16,.17,.20,.21,.14,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.24,.25,.35,.40,.25,.35,.33,.29,.46,.32,.29,.29,.23,.33,.32
1988,.56,.44,.51,.42,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.15,.34,.33,.34,.29,.20,.37,.27,.27,.24,.27,.27,.28
1990,.41,.44,.80,.56,.45,.37,.46,.34,.23,.45,.46,.40,.45,.45,.41,.60,.39,.38
1991,.42,.49,.35,.51,.34,.53,.47,.39,.44,.29,.29,.32,.40,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.25,.08,.08,-.01,.06,.02,.21,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.27,.28,.23,.25,.11,.11,.24,.03,.18,.23,.23,.31,.30,.19,.13
1994,.26,.02,.29,.41,.28,.43,.30,.21,.31,.42,.44,.38,.31,.30,.15,.33,.32,.39
1995,.52,.79,.46,.46,.27,.43,.45,.45,.33,.46,.44,.26,.44,.45,.56,.40,.44,.41
1996,.24,.46,.32,.33,.27,.25,.36,.48,.25,.22,.41,.37,.33,.32,.32,.31,.37,.29
1997,.33,.40,.52,.33,.34,.54,.34,.41,.52,.61,.64,.59,.47,.45,.37,.40,.43,.59
1998,.58,.88,.63,.63,.68,.77,.66,.65,.42,.42,.43,.54,.61,.61,.68,.65,.69,.42
1999,.48,.64,.32,.32,.26,.36,.38,.31,.39,.34,.37,.40,.38,.39,.55,.30,.35,.36
2000,.25,.56,.55,.56,.36,.40,.39,.42,.39,.27,.30,.28,.39,.40,.40,.49,.40,.32
2001,.45,.44,.55,.50,.57,.52,.59,.49,.51,.50,.72,.55,.53,.51,.39,.54,.53,.58
2002,.77,.78,.88,.58,.64,.53,.61,.53,.63,.54,.58,.44,.63,.64,.70,.70,.56,.59
2003,.74,.58,.60,.55,.60,.48,.58,.64,.62,.72,.53,.74,.62,.59,.59,.58,.56,.62
2004,.58,.72,.63,.61,.37,.44,.26,.45,.50,.61,.72,.50,.53,.55,.68,.53,.38,.61
2005,.74,.60,.74,.67,.63,.64,.61,.60,.71,.76,.74,.67,.68,.66,.61,.68,.62,.74
2006,.56,.73,.63,.46,.48,.66,.54,.70,.66,.69,.74,.79,.64,.63,.65,.52,.63,.69
2007,1.01,.70,.71,.76,.68,.61,.59,.60,.60,.58,.59,.49,.66,.69,.83,.72,.60,.59
2008,.30,.38,.75,.54,.50,.49,.60,.46,.61,.67,.69,.54,.54,.54,.39,.59,.52,.65
2009,.65,.52,.53,.61,.65,.64,.74,.69,.71,.65,.79,.67,.65,.64,.57,.60,.69,.72
2010,.75,.83,.92,.85,.75,.67,.63,.67,.63,.72,.81,.45,.72,.74,.75,.84,.66,.72
2011,.52,.48,.65,.64,.53,.62,.70,.75,.56,.65,.59,.60,.61,.60,.48,.61,.69,.60
2012,.47,.49,.57,.73,.78,.64,.58,.66,.72,.80,.78,.53,.65,.65,.52,.69,.63,.77
2013,.71,.62,.67,.53,.60,.69,.60,.70,.77,.69,.83,.70,.68,.66,.62,.60,.66,.76
2014,.76,.55,.78,.80,.86,.67,.58,.83,.87,.80,.67,.78,.75,.74,.67,.81,.69,.78
2015,.87,.90,.96,.75,.79,.81,.73,.79,.84,1.07,1.06,1.16,.89,.86,.85,.83,.78,.99
2016,1.18,1.36,1.35,1.09,.95,.81,.84,1.02,.90,.87,.92,.86,1.01,1.04,1.24,1.13,.89,.90
2017,1.02,1.13,1.16,.94,.91,.71,.82,.87,.75,.89,.88,.93,.92,.91,1.01,1.00,.80,.84
2018,.82,.85,.88,.88,.81,.76,.83,.78,.80,1.01,.83,.92,.85,.85,.87,.86,.79,.88
2019,.93,.94,1.16,1.00,.86,.90,.93,.95,.93,.99,.98,1.11,.97,.96,.93,1.01,.93,.97
2020,1.17,1.24,1.18,1.12,.99,.91,.89,.86,.96,.87,1.09,.79,1.00,1.03,1.17,1.10,.88,.97
2021,.81,.64,.89,.75,.79,.84,.91,.81,.92,.98,.92,.87,.84,.84,.75,.81,.85,.94
2022,.91,.89,1.04,.83,.84,.92,.94,.94,.88,.96,.73,.80,.89,.90,.89,.91,.93,.86
2023,.88,.97,1.23,.99,.94,1.08,1.19,1.19,1.48,1.34,1.41,1.35,1.17,1.12,.88,1.05,1.15,1.41
2024,1.24,1.43,1.39,1.31,1.16,1.24,1.20,1.30,1.23,1.33,1.31,***,***,1.29,1.34,1.29,1.25,1.29
